,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
812,ENSG00000213088,HGNC:4035,ACKR1,2,3.307646984,1232.189903,0.005
813,ENSG00000163083,HGNC:6067,INHBB,2,3.25012345,1749.064848,0.005235602
814,ENSG00000122565,HGNC:1553,CBX3,2,2.850013741,11553.48706,0.03
815,ENSG00000111052,HGNC:17787,LIN7A,2,2.453422111,610.144242,0.025
816,ENSG00000180871,HGNC:6027,CXCR2,2,2.361888685,19.76539756,0.005235602
817,ENSG00000152804,HGNC:4901,HHEX,2,2.126186463,391.299271,0.02617801
818,ENSG00000159409,HGNC:11967,CELF3,2,2.063686991,38.79082779,0.025
819,ENSG00000166225,HGNC:16971,FRS2,2,2.033878516,3683.64258,0.005
820,ENSG00000116604,HGNC:6997,MEF2D,2,1.593680696,3618.730735,0.005235602
821,ENSG00000142273,HGNC:15961,CBLC,2,1.579182411,995.0627553,0.005
822,ENSG00000177885,HGNC:4566,GRB2,2,1.47711835,8223.438729,0.02617801
823,ENSG00000188257,HGNC:9031,PLA2G2A,2,1.474685092,506.1246819,0.010050251
824,ENSG00000130222,HGNC:4097,GADD45G,2,1.466377222,641.4748448,0.005
825,ENSG00000104267,HGNC:1373,CA2,2,1.382490962,2005.864034,0.005
826,ENSG00000068078,HGNC:3690,FGFR3,2,1.378950548,1509.737238,0.015706806
827,ENSG00000138795,HGNC:6551,LEF1,2,1.345660015,943.5174595,0.005
828,ENSG00000137842,HGNC:26269,TMEM62,2,1.330801543,1250.464862,0.005235602
829,ENSG00000135679,HGNC:6973,MDM2,2,1.250882241,3189.304062,0.005
830,ENSG00000177082,HGNC:25928,WDR73,2,1.158669412,220.9189397,0.01
831,ENSG00000138794,HGNC:1507,CASP6,2,1.12410418,941.3280597,0.005
832,ENSG00000168309,HGNC:30827,FAM107A,2,1.091500962,340.8357291,0.005
833,ENSG00000204388,HGNC:5233,HSPA1B,2,1.067079665,3627.391591,0.005
834,ENSG00000113387,HGNC:19985,SUB1,2,1.055408031,10264.01028,0.015
835,ENSG00000150907,HGNC:3819,FOXO1,2,1.045002786,831.0141919,0.005
836,ENSG00000130669,HGNC:16059,PAK4,2,1.022163699,3050.998603,0.005
837,ENSG00000069399,HGNC:998,BCL3,2,1.008571807,2883.284582,0.005
838,ENSG00000072310,HGNC:11289,SREBF1,2,0.944480152,9578.735296,0.005
839,ENSG00000102119,HGNC:3331,EMD,2,0.941844203,2658.294955,0.015
840,ENSG00000158769,HGNC:14685,F11R,2,0.879993824,4863.635493,0.005
841,ENSG00000134046,HGNC:6917,MBD2,2,0.809643838,2483.570131,0.02
842,ENSG00000132002,HGNC:5270,DNAJB1,2,0.793703218,4572.586671,0.005
843,ENSG00000179562,HGNC:19095,GCC1,2,0.779212272,1010.063277,0.005
844,ENSG00000092010,HGNC:9568,PSME1,2,0.766681316,5079.206206,0.005154639
845,ENSG00000101665,HGNC:6773,SMAD7,2,0.691742166,901.4237856,0.020942408
