,Ensembl.ID,HGNC.ID,HGNC.symbol,Mut.Freq,RelEffect,AbsEffect,p
550,ENSG00000109193,HGNC:11377,SULT1E1,5,26.72981414,46.60451823,0.005
551,ENSG00000054356,HGNC:9676,PTPRN,5,11.61242655,148.2459046,0.005
552,ENSG00000144810,HGNC:2215,COL8A1,5,9.695763167,5790.57699,0.005
553,ENSG00000016082,HGNC:6132,ISL1,5,9.603982877,9.83049751,0.005
554,ENSG00000079432,HGNC:14214,CIC,5,5.093815143,6994.837994,0.005
555,ENSG00000087245,HGNC:7166,MMP2,5,4.827461347,26024.96882,0.005
556,ENSG00000118762,HGNC:9009,PKD2,5,3.617969791,1216.352635,0.045
557,ENSG00000130066,HGNC:10540,SAT1,5,3.602989484,11712.20268,0.03
558,ENSG00000103056,HGNC:14240,SMPD3,5,3.564945602,535.0239458,0.015
559,ENSG00000132170,HGNC:9236,PPARG,5,3.062472767,424.0895052,0.005154639
560,ENSG00000177301,HGNC:6220,KCNA2,5,2.476245769,6.22314243,0.005
561,ENSG00000154229,HGNC:9393,PRKCA,5,2.4089123,455.1023553,0.005235602
562,ENSG00000164093,HGNC:9005,PITX2,5,2.368387563,45.95801491,0.005
563,ENSG00000204209,HGNC:2681,DAXX,5,2.213401341,3853.253073,0.02
564,ENSG00000128271,HGNC:263,ADORA2A,5,2.130443646,29.61377206,0.005
565,ENSG00000125810,HGNC:15855,CD93,5,1.515432031,3797.840837,0.005
566,ENSG00000118785,HGNC:11255,SPP1,5,1.488542971,9090.260191,0.005235602
567,ENSG00000121058,HGNC:2184,COIL,5,1.391115551,969.704245,0.025
568,ENSG00000143632,HGNC:129,ACTA1,5,1.376292579,247.846406,0.005
569,ENSG00000130830,HGNC:7219,MPP1,5,1.226426123,904.5504848,0.015706806
570,ENSG00000198400,HGNC:8031,NTRK1,5,1.202124387,40.95147852,0.005235602
571,ENSG00000066230,HGNC:11073,SLC9A3,5,1.18484252,23.11640146,0.005235602
572,ENSG00000163513,HGNC:11773,TGFBR2,5,1.175381943,3674.279951,0.005
573,ENSG00000136167,HGNC:6528,LCP1,5,1.156435126,5433.486175,0.025
574,ENSG00000129515,HGNC:14970,SNX6,5,1.136812985,2111.538816,0.005
575,ENSG00000166033,HGNC:9476,HTRA1,5,1.133958336,8980.29225,0.005050505
576,ENSG00000068305,HGNC:6993,MEF2A,5,1.1336621,1638.45834,0.005154639
577,ENSG00000164924,HGNC:12855,YWHAZ,5,1.133422333,34941.46918,0.005154639
578,ENSG00000154342,HGNC:15983,WNT3A,5,1.086657291,13.48550309,0.005
579,ENSG00000011465,HGNC:2705,DCN,5,1.064762911,26686.25765,0.02
580,ENSG00000163349,HGNC:19006,HIPK1,5,1.041328204,2546.563419,0.005
581,ENSG00000185811,HGNC:13176,IKZF1,5,1.036530856,616.8021636,0.02
582,ENSG00000149557,HGNC:3659,FEZ1,5,0.885026022,153.1913363,0.005
583,ENSG00000136504,HGNC:17016,KAT7,5,0.881497018,1751.442173,0.005
584,ENSG00000179295,HGNC:9644,PTPN11,5,0.873175111,3496.48439,0.005
585,ENSG00000114353,HGNC:4385,GNAI2,5,0.868946414,8804.842055,0.005
586,ENSG00000161011,HGNC:11280,SQSTM1,5,0.829194585,7739.7905,0.005
587,ENSG00000007312,HGNC:1699,CD79B,5,0.731792502,231.2073513,0.005
588,ENSG00000131759,HGNC:9864,RARA,5,0.672702968,4103.576605,0.015
589,ENSG00000119139,HGNC:11828,TJP2,5,0.652690758,1897.351464,0.015
590,ENSG00000142515,HGNC:6364,KLK3,5,0.642824244,42.84465796,0.015
591,ENSG00000142453,HGNC:23393,CARM1,5,0.578852934,1096.54449,0.005235602
592,ENSG00000117461,HGNC:8981,PIK3R3,5,0.550885652,2365.841681,0.005
593,ENSG00000072694,HGNC:3618,FCGR2B,5,0.546418586,195.6587523,0.02
594,ENSG00000170759,HGNC:6324,KIF5B,5,0.52083584,4639.9814,0.015
595,ENSG00000104824,HGNC:5045,HNRNPL,5,0.511452345,4570.513191,0.031413613
596,ENSG00000110422,HGNC:4915,HIPK3,5,0.508847569,2113.912917,0.005
597,ENSG00000028528,HGNC:11172,SNX1,5,0.447563046,2584.104823,0.005235602
598,ENSG00000276644,HGNC:2663,DACH1,5,0.441166341,626.9755039,0.035
599,ENSG00000137710,HGNC:9944,RDX,5,0.436388768,1009.449655,0.010309278
600,ENSG00000115415,HGNC:11362,STAT1,5,0.421800537,6301.381152,0.03
601,ENSG00000055208,HGNC:17075,TAB2,5,0.402221611,1689.464366,0.015706806
602,ENSG00000111669,HGNC:12009,TPI1,5,0.393311997,6973.189674,0.015
603,ENSG00000131323,HGNC:12033,TRAF3,5,0.375636943,515.086093,0.005154639
604,ENSG00000141644,HGNC:6916,MBD1,5,0.349650058,893.6330503,0.005
605,ENSG00000047932,HGNC:17643,GOPC,5,0.348967693,742.9773924,0.005181347
606,ENSG00000125398,HGNC:11204,SOX9,5,0.346209273,1778.468653,0.005
607,ENSG00000127054,HGNC:26052,INTS11,5,0.343693179,1720.212195,0.005
608,ENSG00000174996,HGNC:20716,KLC2,5,0.337303469,884.7459829,0.005
609,ENSG00000100201,HGNC:2740,DDX17,5,0.335843966,9030.268167,0.005
610,ENSG00000162613,HGNC:4004,FUBP1,5,0.327289702,2102.835762,0.005235602
611,ENSG00000160271,HGNC:9842,RALGDS,5,0.327174827,1420.020182,0.02617801
612,ENSG00000159082,HGNC:11503,SYNJ1,5,0.297506641,211.9324452,0.005235602
613,ENSG00000104852,HGNC:11150,SNRNP70,5,0.286202639,3080.301582,0.015
614,ENSG00000114316,HGNC:12627,USP4,5,0.255176727,776.7304154,0.005
615,ENSG00000197111,HGNC:8648,PCBP2,5,0.248547951,3853.57881,0.03
616,ENSG00000100941,HGNC:9162,PNN,5,0.243055911,1046.159981,0.005235602
617,ENSG00000213585,HGNC:12669,VDAC1,5,0.239907678,2565.937975,0.020942408
618,ENSG00000197283,HGNC:11497,SYNGAP1,5,0.22288805,270.7300955,0.03
619,ENSG00000136448,HGNC:7857,NMT1,5,0.216726744,1232.101225,0.015706806
620,ENSG00000003402,HGNC:1876,CFLAR,5,0.212068579,1067.908483,0.045
621,ENSG00000107758,HGNC:9315,PPP3CB,5,0.201494189,608.9958494,0.005
622,ENSG00000197157,HGNC:30646,SND1,5,0.171769441,2353.430262,0.02
623,ENSG00000198668,HGNC:1442,CALM1,5,0.157120897,2441.207735,0.005
624,ENSG00000198954,HGNC:23419,KIFBP,5,0.140839986,314.8668278,0.005
625,ENSG00000100823,HGNC:587,APEX1,5,0.112808361,906.3865284,0.02
626,ENSG00000147140,HGNC:7871,NONO,5,0.107154398,2329.650385,0.041237113
627,ENSG00000119318,HGNC:9813,RAD23B,5,0.08325427,1031.797093,0.02617801
628,ENSG00000125482,HGNC:12397,TTF1,5,-0.093254559,-106.6185564,0.015
629,ENSG00000149269,HGNC:8590,PAK1,5,-0.131361779,-1028.135239,0.04
630,ENSG00000116560,HGNC:10774,SFPQ,5,-0.189192008,-4072.739806,0.031413613
631,ENSG00000161204,HGNC:72,ABCF3,5,-0.192161061,-951.0008867,0.005
632,ENSG00000114302,HGNC:9391,PRKAR2A,5,-0.199929294,-997.3178187,0.020942408
633,ENSG00000143801,HGNC:9509,PSEN2,5,-0.202143911,-524.5223758,0.045
634,ENSG00000196150,HGNC:13044,ZNF250,5,-0.253004334,-367.7039967,0.036082474
635,ENSG00000182944,HGNC:3508,EWSR1,5,-0.264332217,-4419.710715,0.02
636,ENSG00000177963,HGNC:29550,RIC8A,5,-0.265575191,-2694.803193,0.010152284
637,ENSG00000141582,HGNC:1554,CBX4,5,-0.280634014,-1864.545812,0.02
638,ENSG00000106683,HGNC:6613,LIMK1,5,-0.291207972,-1476.939241,0.046391753
639,ENSG00000087586,HGNC:11393,AURKA,5,-0.329879773,-745.3619772,0.030456853
640,ENSG00000110031,HGNC:14061,LPXN,5,-0.348019964,-595.7260043,0.03
641,ENSG00000102054,HGNC:9890,RBBP7,5,-0.358381687,-5786.967405,0.02617801
642,ENSG00000059728,HGNC:6761,MXD1,5,-0.375847898,-865.5064062,0.010362694
643,ENSG00000125733,HGNC:12304,TRIP10,5,-0.377799865,-1480.889044,0.005154639
644,ENSG00000137074,HGNC:15984,APTX,5,-0.414208015,-1433.455367,0.005
645,ENSG00000174791,HGNC:18749,RIN1,5,-0.45030359,-579.3388504,0.005
646,ENSG00000166402,HGNC:12406,TUB,5,-0.515084545,-904.2479784,0.015706806
647,ENSG00000168394,HGNC:43,TAP1,5,-0.519708885,-9867.517477,0.005
648,ENSG00000158402,HGNC:1727,CDC25C,5,-0.54507782,-432.2584097,0.03
649,ENSG00000168283,HGNC:1066,BMI1,5,-0.596223076,-6429.12847,0.015
650,ENSG00000137693,HGNC:16262,YAP1,5,-0.627346586,-9543.553733,0.045
651,ENSG00000117394,HGNC:11005,SLC2A1,5,-2.769538723,11888.98983,0.005235602
652,ENSG00000082074,HGNC:4036,FYB1,5,-2.898711489,2477.730946,0.005235602
653,ENSG00000112658,HGNC:11291,SRF,5,-4.879812442,7630.487876,0.005235602
654,ENSG00000034971,HGNC:7610,MYOC,4,116.8952945,203.9261629,0.005
655,ENSG00000115641,HGNC:3703,FHL2,4,54.45424477,4706.992983,0.03
656,ENSG00000170558,HGNC:1759,CDH2,4,39.79128494,700.056063,0.005025126
